name,regularPrice,stock,description,promotionalPrice,promotionStart,promotionExpiration
Produto 1,48165,201,Descrição do produto 1,49755,2025-07-08,2025-07-12
Produto 2,4933,367,Descrição do produto 2,6072,2025-06-23,2025-07-12
Produto 3,24094,90,Descrição do produto 3,24320,2025-06-16,2025-07-02
Produto 4,11272,788,Descrição do produto 4,11969,2025-06-26,2025-07-22
Produto 5,32494,401,Descrição do produto 5,33733,2025-06-11,2025-07-02
Produto 6,6272,932,Descrição do produto 6,6263,2025-06-23,2025-06-29
Produto 7,13806,788,Descrição do produto 7,13784,2025-06-12,2025-07-11
Produto 8,37275,216,Descrição do produto 8,37244,2025-06-15,2025-07-11
Produto 9,4202,568,Descrição do produto 9,4164,2025-06-26,2025-07-13
Produto 10,32069,837,Descrição do produto 10,32033,2025-07-04,2025-07-28
Produto 11,42127,768,Descrição do produto 11,42079,2025-06-17,2025-07-15
Produto 12,23031,230,Descrição do produto 12,23028,2025-06-27,2025-07-01
Produto 13,45608,411,Descrição do produto 13,45562,2025-07-08,2025-07-14
Produto 14,22432,796,Descrição do produto 14,22430,2025-06-12,2025-07-04
Produto 15,4573,394,Descrição do produto 15,4544,2025-06-16,2025-06-28
Produto 16,33832,298,Descrição do produto 16,33822,2025-07-06,2025-07-14
Produto 17,18712,60,Descrição do produto 17,18702,2025-07-02,2025-07-30
Produto 18,24077,390,Descrição do produto 18,24063,2025-06-22,2025-07-17
Produto 19,40658,753,Descrição do produto 19,40631,2025-06-25,2025-07-18
Produto 20,33275,8,Descrição do produto 20,33253,2025-06-14,2025-06-26
Produto 21,23358,711,Descrição do produto 21,23337,2025-07-05,2025-07-07
Produto 22,24436,328,Descrição do produto 22,24432,2025-06-09,2025-06-30
Produto 23,43012,922,Descrição do produto 23,43004,2025-07-03,2025-07-31
Produto 24,12883,33,Descrição do produto 24,12844,2025-06-27,2025-07-21
Produto 25,977,867,Descrição do produto 25,947,2025-06-27,2025-07-02
Produto 26,13397,779,Descrição do produto 26,13366,2025-06-27,2025-07-15
Produto 27,39455,305,Descrição do produto 27,39417,2025-06-24,2025-07-12
Produto 28,26041,392,Descrição do produto 28,26014,2025-06-23,2025-06-24
Produto 29,39576,767,Descrição do produto 29,39540,2025-06-28,2025-06-30
Produto 30,26230,286,Descrição do produto 30,26180,2025-06-13,2025-06-15
Produto 31,44961,610,Descrição do produto 31,44958,2025-06-09,2025-06-25
Produto 32,2248,495,Descrição do produto 32,2231,2025-06-13,2025-07-05
Produto 33,7861,860,Descrição do produto 33,7827,2025-07-04,2025-07-12
Produto 34,34446,510,Descrição do produto 34,34433,2025-07-01,2025-07-24
Produto 35,13081,378,Descrição do produto 35,13059,2025-07-08,2025-07-11
Produto 36,8423,739,Descrição do produto 36,8392,2025-06-20,2025-07-10
Produto 37,13407,188,Descrição do produto 37,13383,2025-06-11,2025-06-17
